name,cgpa
aiv,9.890000
aiw,8.750000
aix,5.980000
aiy,9.240000
aiz,7.800000
aja,5.260000
ajb,8.820000
ajc,6.570000
ajd,6.160000
aje,7.060000
ajf,8.690000
ajg,8.050000
ajh,5.810000
aji,9.720000
ajj,5.660000
ajk,5.450000
ajl,5.110000
ajm,8.940000
ajn,5.680000
ajo,7.410000
ajp,5.600000
ajq,5.700000
ajr,9.170000
ajs,8.720000
ajt,8.400000
aju,8.720000
ajv,7.430000
ajw,8.430000
ajx,7.840000
ajy,9.610000
ajz,7.860000
aka,6.260000
akb,6.810000
akc,8.850000
akd,9.700000
ake,7.110000
akf,7.550000
akg,5.780000
akh,5.640000
aki,7.620000
akj,7.760000
akk,6.150000
akl,6.130000
akm,7.100000
akn,9.110000
ako,5.690000
akp,9.970000
akq,9.570000
akr,6.110000
aks,6.710000
akt,6.710000
aku,6.040000
akv,5.600000
akw,9.140000
akx,7.850000
aky,8.120000
akz,6.030000
ala,8.150000
alb,6.380000
alc,5.900000
ald,8.970000
ale,9.220000
alf,7.540000
alg,9.860000
alh,8.540000
ali,5.120000
alj,5.940000
alk,7.580000
all,9.750000
alm,6.940000
aln,8.350000
alo,9.740000
alp,7.670000
alq,8.910000
alr,5.880000
als,8.980000
alt,9.390000
alu,8.800000
alv,9.550000
alw,5.350000
alx,8.560000
aly,8.140000
alz,9.530000
ama,5.690000
amb,8.030000
amc,7.100000
amd,8.190000
ame,6.550000
amf,9.570000
amg,8.430000
amh,8.510000
ami,9.990000
amj,9.750000
amk,7.830000
aml,6.840000
amm,8.890000
amn,7.990000
amo,9.770000
amp,6.820000
amq,7.740000
amr,6.110000
ams,6.420000
amt,5.200000
amu,6.200000
amv,8.000000
amw,6.720000
amx,8.750000
amy,6.400000
amz,6.240000
ana,6.410000
anb,9.930000
anc,8.710000
and,7.670000
ane,8.760000
anf,9.310000
ang,9.640000
anh,7.330000
ani,5.070000
anj,5.160000
ank,8.930000
anl,7.670000
anm,9.380000
ann,7.920000
ano,6.500000
anp,6.460000
anq,9.870000
anr,7.000000
ans,9.590000
ant,9.580000
anu,7.650000
anv,9.870000
anw,9.770000
anx,6.520000
any,7.970000
anz,8.640000
aoa,9.030000
aob,8.420000
aoc,6.310000
aod,5.130000
aoe,6.550000
aof,5.110000
aog,9.610000
aoh,8.270000
aoi,7.450000
aoj,7.380000
aok,6.800000
aol,9.850000
aom,5.070000
aon,6.010000
aoo,7.050000
aop,5.100000
aoq,5.080000
aor,7.240000
aos,5.540000
aot,9.430000
aou,7.890000
aov,8.640000
aow,6.490000
aox,5.500000
aoy,6.520000
aoz,5.370000
apa,8.060000
apb,6.680000
apc,5.450000
apd,8.650000
ape,6.710000
apf,6.850000
apg,8.930000
aph,9.700000
api,8.320000
apj,7.490000
apk,9.620000
apl,8.540000
apm,6.060000
apn,6.840000
apo,8.570000
app,9.030000
apq,9.560000
apr,9.730000
aps,9.190000
apt,9.130000
apu,5.920000
apv,6.280000
apw,7.800000
apx,6.600000
apy,9.030000
apz,5.320000
aqa,6.170000
aqb,6.790000
aqc,5.100000
aqd,7.930000
aqe,7.040000
aqf,6.310000
aqg,6.140000
aqh,7.780000
aqi,6.180000
aqj,8.590000
aqk,5.430000
aql,6.750000
aqm,8.150000
aqn,8.670000
aqo,9.520000
aqp,7.550000
aqq,7.800000
aqr,8.750000
aqs,6.120000
aqt,9.460000
aqu,6.620000
aqv,5.010000
aqw,8.000000
aqx,8.370000
aqy,7.480000
aqz,5.770000
ara,6.240000
arb,7.210000
arc,7.320000
ard,9.500000
are,5.840000
arf,7.770000
arg,6.200000
arh,6.210000
ari,9.280000
arj,6.670000
ark,5.460000
arl,5.330000
arm,8.160000
arn,6.340000
aro,9.720000
arp,9.050000
arq,9.620000
arr,9.420000
ars,5.070000
art,9.060000
aru,9.860000
arv,6.130000
arw,8.690000
arx,9.710000
ary,9.470000
arz,8.370000
asa,8.710000
asb,9.140000
asc,6.810000
asd,7.310000
ase,5.470000
asf,6.240000
asg,9.550000
ash,8.940000
asi,8.810000
asj,5.670000
ask,8.960000
asl,5.560000
asm,6.330000
asn,9.750000
aso,5.990000
asp,5.230000
asq,6.670000
asr,5.570000
ass,8.380000
ast,9.180000
asu,7.080000
asv,5.170000
asw,8.000000
asx,5.270000
asy,9.020000
asz,6.280000
ata,6.470000
atb,8.560000
atc,8.450000
atd,9.780000
ate,6.970000
atf,9.590000
atg,6.340000
ath,5.400000
ati,5.320000
atj,5.640000
atk,7.740000
atl,8.190000
atm,5.720000
atn,7.180000
ato,9.010000
atp,9.690000
atq,5.660000
atr,8.510000
ats,8.140000
att,6.390000
atu,5.160000
atv,9.220000
atw,6.150000
atx,9.100000
aty,5.090000
atz,9.830000
aua,9.200000
aub,9.220000
auc,5.900000
aud,7.700000
aue,8.250000
auf,7.510000
aug,9.780000
auh,9.900000
aui,8.300000
auj,8.910000
auk,9.630000
aul,8.230000
aum,7.670000
aun,5.250000
auo,5.110000
aup,9.270000
auq,9.030000
aur,8.990000
aus,7.120000
aut,9.260000
auu,7.080000
auv,6.740000
auw,7.410000
aux,8.930000
auy,9.270000
auz,9.050000
ava,5.770000
avb,7.930000
avc,5.620000
avd,5.010000
ave,7.410000
avf,7.650000
avg,7.560000
avh,9.130000
avi,6.960000
avj,8.470000
avk,9.950000
avl,6.480000
avm,8.190000
avn,7.340000
avo,9.540000
avp,7.890000
avq,8.030000
avr,9.590000
avs,9.590000
avt,6.330000
avu,9.710000
avv,8.100000
avw,6.410000
avx,5.020000
avy,6.550000
avz,9.810000
awa,9.110000
awb,6.930000
awc,7.440000
awd,7.560000
awe,9.020000
awf,5.070000
awg,9.230000
awh,7.650000
awi,5.140000
awj,9.170000
awk,9.880000
awl,5.540000
awm,5.490000
awn,7.310000
awo,6.050000
awp,7.880000
awq,5.250000
awr,7.040000
aws,7.290000
awt,8.240000
awu,7.610000
awv,9.350000
aww,7.190000
awx,7.000000
awy,7.130000
awz,6.320000
axa,9.990000
axb,7.870000
axc,9.550000
axd,6.510000
axe,9.060000
axf,5.440000
axg,5.410000
axh,6.640000
axi,6.250000
axj,7.840000
axk,6.520000
axl,5.650000
axm,7.710000
axn,6.170000
axo,8.410000
axp,7.190000
axq,9.720000
axr,8.650000
axs,10.000000
axt,5.670000
axu,7.130000
axv,8.180000
axw,7.610000
axx,5.920000
axy,5.800000
axz,6.630000
aya,8.990000
ayb,6.210000
ayc,8.310000
ayd,9.860000
aye,7.140000
ayf,8.970000
ayg,7.510000
ayh,6.830000
ayi,7.140000
ayj,8.740000
ayk,6.140000
ayl,5.380000
aym,7.850000
ayn,9.770000
ayo,7.970000
ayp,7.330000
ayq,6.720000
ayr,8.170000
ays,9.570000
ayt,9.360000
ayu,5.910000
ayv,6.250000
ayw,5.330000
ayx,7.250000
ayy,5.660000
ayz,6.710000
aza,7.870000
azb,5.330000
azc,8.090000
azd,6.800000
aze,9.380000
azf,6.090000
azg,7.330000
azh,7.700000
azi,5.310000
azj,8.020000
azk,7.630000
azl,5.620000
azm,5.780000
azn,6.720000
azo,7.890000
azp,7.920000
azq,7.840000
azr,7.120000
azs,5.050000
azt,8.230000
azu,7.530000
azv,5.370000
azw,5.380000
azx,8.070000
azy,6.090000
azz,6.590000
baa,5.570000
bab,9.750000
bac,6.220000
bad,5.980000
bae,9.100000
baf,5.980000
bag,6.180000
bah,7.970000
bai,7.520000
baj,8.950000
bak,6.940000
bal,5.620000
bam,6.510000
ban,7.360000
bao,9.540000
bap,5.940000
baq,9.340000
bar,8.920000
bas,5.380000
bat,9.530000
bau,8.490000
bav,6.090000
baw,8.790000
bax,5.540000
bay,7.650000
baz,5.830000
bba,5.310000
bbb,8.370000
bbc,8.460000
bbd,6.030000
bbe,6.160000
bbf,5.090000
bbg,6.610000
bbh,6.070000
bbi,9.290000
bbj,7.820000
bbk,7.210000
bbl,8.330000
bbm,7.250000
bbn,7.510000
bbo,7.730000
bbp,7.970000
bbq,5.370000
bbr,8.110000
bbs,8.240000
bbt,8.800000
bbu,9.960000
bbv,5.970000
bbw,8.070000
bbx,6.810000
bby,5.840000
bbz,5.520000
bca,5.580000
bcb,5.280000
bcc,7.560000
bcd,8.710000
bce,8.670000
bcf,6.600000
bcg,9.970000
bch,8.590000
bci,6.780000
bcj,7.760000
bck,7.330000
bcl,8.070000
bcm,8.430000
bcn,8.770000
bco,5.290000
bcp,9.660000
bcq,8.020000
bcr,6.340000
bcs,6.630000
bct,7.850000
bcu,6.560000
bcv,5.800000
bcw,6.150000
bcx,8.680000
bcy,7.700000
bcz,8.620000
bda,6.330000
bdb,6.950000
bdc,9.510000
bdd,7.860000
bde,5.380000
bdf,9.600000
bdg,6.320000
bdh,9.940000
bdi,9.220000
bdj,8.180000
bdk,6.640000
bdl,7.210000
bdm,7.450000
bdn,9.430000
bdo,6.720000
bdp,9.030000
bdq,5.560000
bdr,9.870000
bds,8.930000
bdt,9.740000
bdu,7.050000
bdv,7.190000
bdw,6.050000
bdx,7.010000
bdy,7.150000
bdz,7.620000
bea,6.870000
beb,9.550000
bec,6.710000
bed,8.980000
bee,8.290000
bef,9.990000
beg,9.480000
beh,5.850000
bei,9.540000
bej,6.670000
bek,5.880000
bel,8.370000
bem,6.110000
ben,8.080000
beo,5.160000
bep,5.190000
beq,5.390000
ber,6.050000
bes,5.890000
bet,8.150000
beu,9.780000
bev,7.880000
bew,6.440000
bex,5.260000
bey,9.530000
bez,6.930000
bfa,6.060000
bfb,6.570000
bfc,6.650000
bfd,9.980000
bfe,5.570000
bff,9.510000
bfg,5.330000
bfh,5.490000
bfi,6.320000
bfj,5.750000
bfk,8.380000
bfl,6.610000
bfm,8.340000
bfn,9.330000
bfo,9.400000
bfp,7.580000
bfq,8.190000
bfr,6.460000
bfs,9.250000
bft,5.450000
bfu,5.780000
bfv,9.100000
bfw,9.290000
bfx,7.440000
bfy,5.000000
bfz,8.020000
bga,6.520000
bgb,7.190000
bgc,6.000000
bgd,6.730000
bge,9.710000
bgf,6.330000
bgg,5.310000
bgh,8.390000
bgi,8.740000
bgj,9.370000
bgk,5.030000
bgl,8.530000
bgm,7.060000
bgn,5.310000
bgo,8.700000
bgp,6.630000
bgq,6.520000
bgr,6.710000
bgs,5.640000
bgt,5.610000
bgu,8.850000
bgv,9.900000
bgw,8.570000
bgx,5.050000
bgy,9.470000
bgz,6.640000
bha,7.710000
bhb,5.730000
bhc,7.780000
bhd,5.880000
bhe,7.750000
bhf,8.970000
bhg,8.990000
bhh,6.840000
bhi,8.850000
bhj,9.730000
bhk,5.490000
bhl,5.110000
bhm,9.840000
bhn,8.880000
bho,8.440000
bhp,5.930000
bhq,8.450000
bhr,9.070000
bhs,7.150000
bht,7.180000
bhu,9.260000
bhv,5.750000
bhw,6.280000
bhx,5.530000
bhy,5.280000
bhz,8.580000
bia,9.450000
bib,5.430000
bic,8.070000
bid,8.090000
bie,8.450000
bif,7.710000
big,7.770000
bih,6.590000
bii,8.800000
bij,6.420000
bik,5.890000
bil,9.970000
bim,6.830000
bin,6.190000
bio,7.740000
bip,7.860000
biq,8.010000
bir,8.150000
bis,5.270000
bit,7.620000
biu,5.150000
biv,5.240000
biw,6.090000
bix,9.070000
biy,9.950000
biz,5.190000
bja,6.470000
bjb,9.410000
bjc,9.480000
bjd,6.300000
bje,7.110000
bjf,6.770000
bjg,7.650000
bjh,6.790000
bji,9.420000
bjj,6.020000
bjk,5.580000
bjl,8.990000
bjm,5.610000
bjn,6.610000
bjo,5.750000
bjp,8.940000
bjq,5.200000
bjr,9.300000
bjs,5.700000
bjt,9.720000
bju,5.040000
bjv,8.630000
bjw,8.730000
bjx,5.530000
bjy,5.090000
bjz,5.610000
bka,5.300000
bkb,5.930000
bkc,7.810000
bkd,5.790000
bke,7.330000
bkf,6.550000
bkg,8.740000
bkh,5.460000
bki,9.120000
bkj,7.850000
bkk,5.150000
bkl,5.100000
bkm,6.210000
bkn,6.230000
bko,8.380000
bkp,9.450000
bkq,5.540000
bkr,5.660000
bks,6.310000
bkt,6.590000
bku,8.430000
bkv,6.880000
bkw,8.080000
bkx,9.270000
bky,5.590000
bkz,7.150000
bla,7.480000
blb,8.720000
blc,8.630000
bld,6.470000
ble,5.680000
blf,5.550000
blg,6.860000
blh,5.700000
bli,7.780000
blj,9.880000
blk,5.860000
bll,8.360000
blm,9.470000
bln,5.630000
blo,7.990000
blp,5.580000
blq,9.830000
blr,9.820000
bls,9.110000
blt,6.360000
blu,9.470000
blv,7.660000
blw,9.870000
blx,8.360000
bly,9.430000
blz,7.980000
bma,6.910000
bmb,5.240000
bmc,8.290000
bmd,9.970000
bme,8.740000
bmf,7.950000
bmg,7.870000
bmh,9.860000
bmi,5.890000
bmj,6.790000
bmk,6.710000
bml,7.790000
bmm,5.260000
bmn,6.590000
bmo,5.300000
bmp,8.830000
bmq,9.690000
bmr,7.480000
bms,6.850000
bmt,6.450000
bmu,9.970000
bmv,9.510000
bmw,6.280000
bmx,8.820000
bmy,8.810000
bmz,7.770000
bna,8.780000
bnb,8.490000
bnc,6.830000
bnd,9.370000
bne,6.760000
bnf,8.290000
bng,8.940000
bnh,7.930000
bni,5.400000
bnj,6.120000
bnk,8.940000
bnl,9.870000
bnm,6.560000
bnn,9.750000
bno,5.180000
bnp,9.340000
bnq,7.970000
bnr,7.900000
bns,7.730000
bnt,8.030000
bnu,7.730000
bnv,9.720000
bnw,7.370000
bnx,6.560000
bny,6.230000
bnz,8.790000
boa,5.870000
bob,6.520000
boc,8.290000
bod,5.970000
boe,9.380000
bof,6.570000
bog,7.730000
boh,8.610000
boi,6.410000
boj,8.820000
bok,6.300000
bol,9.450000
bom,5.560000
bon,6.070000
boo,6.830000
bop,9.390000
boq,8.440000
bor,8.390000
bos,9.260000
bot,7.170000
bou,9.840000
bov,6.750000
bow,9.840000
box,7.150000
boy,7.140000
boz,9.930000
bpa,7.040000
bpb,7.170000
bpc,8.560000
bpd,9.090000
bpe,7.680000
bpf,9.450000
bpg,9.550000
bph,8.050000
bpi,7.080000
bpj,9.920000
bpk,9.730000
bpl,5.710000
bpm,9.850000
bpn,6.990000
bpo,8.320000
bpp,8.860000
bpq,6.660000
bpr,5.850000
bps,7.920000
bpt,6.850000
bpu,7.680000
bpv,8.350000
bpw,9.860000
bpx,8.720000
bpy,8.960000
bpz,9.680000
bqa,5.250000
bqb,6.900000
bqc,8.220000
bqd,8.080000
bqe,5.320000
bqf,7.980000
bqg,5.020000
bqh,6.810000
bqi,6.790000
bqj,8.190000
bqk,5.270000
bql,6.080000
bqm,6.920000
bqn,6.280000
bqo,8.040000
bqp,7.120000
bqq,5.660000
bqr,9.910000
bqs,7.420000
bqt,9.790000
bqu,7.490000
bqv,6.350000
bqw,5.570000
bqx,9.330000
bqy,5.790000
bqz,7.060000
bra,6.980000
brb,5.640000
brc,8.300000
brd,9.350000
bre,6.050000
brf,8.140000
brg,7.180000
brh,6.310000
bri,9.460000
brj,7.970000
brk,5.880000
brl,5.840000
brm,7.300000
brn,6.820000
bro,5.030000
brp,7.340000
brq,9.780000
brr,8.130000
brs,8.930000
brt,5.640000
bru,7.140000
brv,9.170000
brw,5.950000
brx,7.270000
bry,6.680000
brz,7.140000
bsa,5.560000
bsb,9.370000
bsc,7.630000
bsd,7.740000
bse,6.000000
bsf,5.050000
bsg,5.200000
bsh,9.650000
bsi,9.910000
bsj,5.350000
bsk,5.640000
bsl,5.580000
bsm,6.500000
bsn,9.330000
bso,7.600000
bsp,9.080000
bsq,5.700000
bsr,5.530000
bss,7.550000
bst,6.500000
bsu,9.300000
bsv,8.640000
bsw,7.020000
bsx,5.270000
bsy,9.440000
bsz,5.740000
bta,8.320000
btb,5.390000
btc,6.260000
btd,6.620000
bte,6.420000
btf,8.260000
btg,6.480000
bth,7.180000
bti,8.660000
btj,6.820000
btk,5.540000
btl,8.200000
btm,8.330000
btn,5.880000
bto,7.870000
btp,8.910000
btq,5.050000
btr,8.090000
bts,8.930000
btt,6.250000
btu,7.860000
btv,9.280000
btw,9.960000
btx,7.480000
bty,8.900000
btz,8.210000
bua,8.820000
bub,9.410000
buc,5.080000
bud,8.560000
bue,5.950000
buf,6.850000
bug,5.590000
buh,5.930000
bui,9.790000
buj,9.660000
buk,9.920000
bul,8.080000
bum,6.190000
bun,9.940000
buo,9.240000
bup,7.010000
buq,7.370000
bur,9.240000
bus,8.880000
but,5.110000
buu,8.230000
buv,5.710000
buw,9.810000
bux,6.870000
buy,9.080000
buz,8.390000
bva,8.470000
bvb,8.360000
bvc,8.340000
bvd,7.510000
bve,6.650000
bvf,5.800000
bvg,9.270000
bvh,8.500000
bvi,7.440000
bvj,7.420000
bvk,6.860000
bvl,8.700000
bvm,6.330000
bvn,8.240000
bvo,8.620000
bvp,7.310000
bvq,5.650000
bvr,7.190000
bvs,9.880000
bvt,9.370000
bvu,7.290000
bvv,9.550000
bvw,5.020000
bvx,9.550000
bvy,6.000000
bvz,6.710000
bwa,7.900000
bwb,5.230000
bwc,8.370000
bwd,8.880000
bwe,8.920000
bwf,6.380000
bwg,9.990000
bwh,8.030000
bwi,5.110000
bwj,9.550000
bwk,6.220000
bwl,9.060000
bwm,8.280000
bwn,7.260000
bwo,6.410000
bwp,8.420000
bwq,9.400000
bwr,9.210000
bws,7.290000
bwt,9.920000
bwu,7.790000
bwv,9.320000
bww,9.510000
bwx,8.140000
bwy,6.510000
bwz,9.090000
bxa,6.420000
bxb,6.560000
bxc,7.800000
bxd,7.080000
bxe,9.410000
bxf,6.560000
bxg,9.350000
bxh,9.350000
bxi,7.840000
bxj,8.910000
bxk,7.110000
bxl,5.500000
bxm,7.790000
bxn,9.310000
bxo,9.700000
bxp,5.020000
bxq,7.290000
bxr,7.810000
bxs,9.080000
bxt,5.850000
bxu,6.210000
bxv,6.740000
bxw,9.020000
bxx,9.460000
bxy,9.650000
bxz,5.320000
bya,5.940000
byb,6.320000
byc,8.620000
byd,8.220000
bye,6.580000
byf,5.640000
byg,7.830000
byh,7.410000
byi,7.100000
byj,9.330000
byk,9.430000
byl,7.510000
bym,8.620000
byn,6.580000
byo,6.760000
byp,6.080000
byq,9.360000
byr,5.580000
bys,8.540000
byt,8.710000
byu,8.920000
byv,8.670000
byw,8.510000
byx,7.040000
byy,8.750000
byz,8.500000
bza,7.770000
bzb,8.850000
bzc,7.780000
bzd,8.620000
bze,9.480000
bzf,9.610000
bzg,8.850000
bzh,9.210000
bzi,9.740000
bzj,5.360000
bzk,5.770000
bzl,7.230000
bzm,6.300000
bzn,5.690000
bzo,6.320000
bzp,9.570000
bzq,9.260000
bzr,7.940000
bzs,9.650000
bzt,7.080000
bzu,9.110000
bzv,8.530000
bzw,9.980000
bzx,5.570000
bzy,9.870000
bzz,10.000000
caa,9.030000
cab,8.580000
cac,8.040000
cad,7.650000
cae,7.020000
caf,6.410000
cag,9.830000
cah,7.670000
cai,8.300000
caj,9.420000
cak,9.470000
cal,7.170000
cam,9.230000
can,9.740000
cao,8.670000
cap,8.930000
caq,9.530000
car,7.690000
cas,7.330000
cat,6.470000
cau,6.840000
cav,7.770000
caw,6.850000
cax,8.530000
cay,6.340000
caz,9.770000
cba,8.200000
cbb,9.710000
cbc,8.040000
cbd,7.950000
cbe,9.550000
cbf,8.040000
cbg,8.240000
cbh,8.400000
cbi,7.120000
cbj,7.530000
cbk,5.620000
cbl,6.630000
cbm,6.140000
cbn,7.760000
cbo,8.560000
cbp,8.950000
cbq,7.450000
cbr,5.100000
cbs,8.910000
cbt,9.280000
cbu,9.080000
cbv,9.540000
cbw,5.980000
cbx,6.210000
cby,8.870000
cbz,5.680000
cca,9.740000
ccb,6.910000
ccc,9.470000
ccd,7.680000
cce,8.460000
ccf,9.960000
ccg,8.510000
cch,6.890000
cci,6.790000
ccj,7.870000
cck,5.930000
ccl,6.830000
ccm,6.570000
ccn,7.190000
cco,7.580000
ccp,7.260000
ccq,9.390000
ccr,5.850000
ccs,9.350000
cct,5.240000
ccu,8.310000
ccv,5.800000
ccw,8.660000
ccx,5.340000
ccy,6.890000
ccz,7.860000
cda,5.730000
cdb,9.410000
cdc,7.090000
cdd,8.790000
cde,5.030000
cdf,6.810000
cdg,8.900000
cdh,6.310000
cdi,6.490000
cdj,9.750000
cdk,8.460000
cdl,7.820000
cdm,5.960000
cdn,6.050000
cdo,9.030000
cdp,5.980000
cdq,5.590000
cdr,5.010000
cds,8.480000
cdt,5.020000
cdu,6.730000
cdv,5.860000
cdw,6.740000
cdx,5.650000
cdy,5.380000
cdz,7.470000
cea,9.370000
ceb,6.390000
cec,5.470000
ced,8.400000
cee,7.400000
cef,9.450000
ceg,8.920000
ceh,7.170000
cei,6.400000
cej,7.210000
cek,6.670000
cel,8.420000
cem,5.580000
cen,6.370000
ceo,6.820000
cep,5.610000
ceq,9.580000
cer,7.230000
ces,7.020000
cet,6.420000
ceu,9.260000
cev,5.990000
cew,5.880000
cex,8.640000
cey,9.910000
cez,7.560000
cfa,7.360000
cfb,9.800000
cfc,9.150000
cfd,6.510000
cfe,7.140000
cff,7.240000
cfg,9.390000
cfh,9.420000
cfi,8.950000
cfj,5.880000
cfk,5.860000
cfl,9.680000
cfm,8.000000
cfn,5.860000
cfo,5.500000
cfp,5.360000
cfq,6.370000
cfr,7.330000
cfs,5.100000
cft,9.020000
cfu,5.880000
cfv,8.750000
cfw,7.720000
cfx,9.490000
cfy,9.300000
cfz,6.820000
cga,8.560000
cgb,8.140000
cgc,7.020000
cgd,5.420000
cge,5.170000
cgf,9.840000
cgg,8.250000
cgh,6.530000
cgi,7.950000
cgj,5.180000
cgk,6.560000
cgl,8.340000
cgm,7.680000
cgn,5.160000
cgo,8.140000
cgp,9.400000
cgq,7.060000
cgr,5.060000
cgs,7.230000
cgt,8.730000
cgu,5.810000
cgv,7.500000
cgw,9.400000
cgx,8.930000
cgy,5.320000
cgz,5.720000
cha,5.920000
chb,5.040000
chc,8.680000
chd,7.920000
che,6.920000
chf,6.740000
chg,5.500000
chh,9.870000
chi,8.530000
chj,8.420000
chk,5.990000
chl,7.220000
chm,5.660000
chn,7.110000
cho,5.620000
chp,6.580000
chq,6.910000
chr,8.770000
chs,8.290000
cht,8.180000
chu,9.270000
chv,8.040000
chw,5.370000
chx,6.930000
chy,9.510000
chz,8.450000
cia,6.910000
cib,5.050000
cic,8.030000
cid,5.140000
cie,8.860000
cif,8.290000
cig,9.610000
cih,9.140000
cii,6.040000
cij,8.620000
cik,7.790000
cil,6.590000
cim,6.660000
cin,5.690000
cio,7.500000
cip,9.510000
ciq,6.290000
cir,7.560000
cis,6.040000
cit,5.340000
ciu,8.130000
civ,7.190000
ciw,5.870000
cix,6.940000
ciy,8.550000
ciz,8.190000
cja,5.420000
cjb,6.720000
cjc,8.420000
cjd,5.540000
cje,9.480000
cjf,5.150000
cjg,9.620000
cjh,8.420000
cji,5.290000
cjj,5.380000
cjk,5.420000
cjl,9.740000
cjm,9.330000
cjn,9.700000
cjo,5.490000
cjp,9.460000
cjq,9.660000
cjr,6.920000
cjs,5.100000
cjt,6.310000
cju,6.590000
cjv,9.440000
cjw,5.190000
cjx,9.260000
cjy,5.480000
cjz,7.210000
cka,7.500000
ckb,9.360000
ckc,5.990000
ckd,8.690000
cke,7.260000
ckf,6.540000
ckg,8.330000
ckh,6.180000
cki,5.910000
ckj,8.080000
ckk,5.700000
ckl,5.250000
ckm,5.650000
ckn,7.490000
cko,5.680000
ckp,6.080000
ckq,9.210000
ckr,8.500000
cks,6.770000
ckt,5.830000
cku,8.540000
ckv,6.000000
ckw,7.590000
ckx,8.470000
cky,5.420000
ckz,7.530000
cla,5.810000
clb,5.510000
clc,9.510000
cld,9.210000
cle,9.980000
clf,7.890000
clg,7.980000
clh,5.120000
cli,6.840000
clj,5.660000
clk,9.950000
cll,5.310000
clm,9.840000
cln,8.970000
clo,7.970000
clp,6.990000
clq,6.780000
clr,9.180000
cls,6.270000
clt,9.080000
clu,9.530000
clv,5.170000
clw,6.670000
clx,9.500000
cly,6.710000
clz,5.790000
cma,6.020000
cmb,7.680000
